Date,Value
1987-02-01,17036.0
1987-01-01,17045.0
1986-12-01,17021.0
1986-11-01,17005.0
1986-10-01,16969.0
1986-09-01,16910.0
1986-08-01,16800.0
1986-07-01,16779.0
1986-06-01,16779.0
1986-05-01,16790.0
1986-04-01,16765.0
1986-03-01,16755.0
1986-02-01,16759.0
1986-01-01,16715.0
1985-12-01,16694.0
1985-11-01,16674.0
1985-10-01,16654.0
1985-09-01,16638.0
1985-08-01,16619.0
1985-07-01,16620.0
1985-06-01,16498.0
1985-05-01,16474.0
1985-04-01,16430.0
1985-03-01,16395.0
1985-02-01,16349.0
1985-01-01,16336.0
1984-12-01,16282.0
1984-11-01,16311.0
1984-10-01,16274.0
1984-09-01,16255.0
1984-08-01,16224.0
1984-07-01,16172.0
1984-06-01,16127.0
1984-05-01,16103.0
1984-04-01,16075.0
1984-03-01,16030.0
1984-02-01,16025.0
1984-01-01,16010.0
1983-12-01,16008.0
1983-11-01,15997.0
1983-10-01,15986.0
1983-09-01,16042.0
1983-08-01,16016.0
1983-07-01,16011.0
1983-06-01,16020.0
1983-05-01,16005.0
1983-04-01,15990.0
1983-03-01,16005.0
1983-02-01,16004.0
1983-01-01,16023.0
1982-12-01,15981.0
1982-11-01,15977.0
1982-10-01,15956.0
1982-09-01,15923.0
1982-08-01,15930.0
1982-07-01,15890.0
1982-06-01,16016.0
1982-05-01,16003.0
1982-04-01,16010.0
1982-03-01,16024.0
1982-02-01,16011.0
1982-01-01,16041.0
1981-12-01,16073.0
1981-11-01,16078.0
1981-10-01,16069.0
1981-09-01,16031.0
1981-08-01,16110.0
1981-07-01,16175.0
1981-06-01,16159.0
1981-05-01,16198.0
1981-04-01,16260.0
1981-03-01,16292.0
1981-02-01,16346.0
1981-01-01,16360.0
1980-12-01,16373.0
1980-11-01,16391.0
1980-10-01,16386.0
1980-09-01,16330.0
1980-08-01,16410.0
1980-07-01,16418.0
1980-06-01,16441.0
1980-05-01,16454.0
1980-04-01,16583.0
1980-03-01,16296.0
1980-02-01,16226.0
1980-01-01,16201.0
1979-12-01,16180.0
1979-11-01,16173.0
1979-10-01,16136.0
1979-09-01,16128.0
1979-08-01,16229.0
1979-07-01,16150.0
1979-06-01,16045.0
1979-05-01,15990.0
1979-04-01,15977.0
1979-03-01,15956.0
1979-02-01,15947.0
1979-01-01,15937.0
1978-12-01,15911.0
1978-11-01,15894.0
1978-10-01,15858.0
1978-09-01,15819.0
1978-08-01,15891.0
1978-07-01,15901.0
1978-06-01,15852.0
1978-05-01,15834.0
1978-04-01,15797.0
1978-03-01,15731.0
1978-02-01,15671.0
1978-01-01,15611.0
1977-12-01,15538.0
1977-11-01,15515.0
1977-10-01,15463.0
1977-09-01,15403.0
1977-08-01,15328.0
1977-07-01,15299.0
1977-06-01,15207.0
1977-05-01,15132.0
1977-04-01,15075.0
1977-03-01,15050.0
1977-02-01,15056.0
1977-01-01,15056.0
1976-12-01,15075.0
1976-11-01,15073.0
1976-10-01,15028.0
1976-09-01,14971.0
1976-08-01,15007.0
1976-07-01,14993.0
1976-06-01,14963.0
1976-05-01,14971.0
1976-04-01,14985.0
1976-03-01,14987.0
1976-02-01,14981.0
1976-01-01,14969.0
1975-12-01,14946.0
1975-11-01,14903.0
1975-10-01,14900.0
1975-09-01,14824.0
1975-08-01,14870.0
1975-07-01,14861.0
1975-06-01,14784.0
1975-05-01,14827.0
1975-04-01,14795.0
1975-03-01,14754.0
1975-02-01,14747.0
1975-01-01,14624.0
1974-12-01,14559.0
1974-11-01,14532.0
1974-10-01,14484.0
1974-09-01,14422.0
1974-08-01,14328.0
1974-07-01,14288.0
1974-06-01,14239.0
1974-05-01,14221.0
1974-04-01,14191.0
1974-03-01,14152.0
1974-02-01,14135.0
1974-01-01,14090.0
1973-12-01,14070.0
1973-11-01,14035.0
1973-10-01,13977.0
1973-09-01,13892.0
1973-08-01,13904.0
1973-07-01,13865.0
1973-06-01,13872.0
1973-05-01,13817.0
1973-04-01,13777.0
1973-03-01,13745.0
1973-02-01,13711.0
1973-01-01,13690.0
1972-12-01,13684.0
1972-11-01,13643.0
1972-10-01,13606.0
1972-09-01,13575.0
1972-08-01,13530.0
1972-07-01,13482.0
1972-06-01,13405.0
1972-05-01,13416.0
1972-04-01,13358.0
1972-03-01,13329.0
1972-02-01,13298.0
1972-01-01,13266.0
1971-12-01,13190.0
1971-11-01,13148.0
1971-10-01,13115.0
1971-09-01,13068.0
1971-08-01,13041.0
1971-07-01,13011.0
1971-06-01,13008.0
1971-05-01,12970.0
1971-04-01,12945.0
1971-03-01,12908.0
1971-02-01,12877.0
1971-01-01,12878.0
1970-12-01,12845.0
1970-11-01,12830.0
1970-10-01,12793.0
1970-09-01,12741.0
1970-08-01,12711.0
1970-07-01,12697.0
1970-06-01,12667.0
1970-05-01,12668.0
1970-04-01,12705.0
1970-03-01,12603.0
1970-02-01,12518.0
1970-01-01,12496.0
1969-12-01,12477.0
1969-11-01,12448.0
1969-10-01,12430.0
1969-09-01,12379.0
1969-08-01,12373.0
1969-07-01,12340.0
1969-06-01,12359.0
1969-05-01,12284.0
1969-04-01,12245.0
1969-03-01,12229.0
1969-02-01,12224.0
1969-01-01,12209.0
1968-12-01,12145.0
1968-11-01,12107.0
1968-10-01,12101.0
1968-09-01,12067.0
1968-08-01,12042.0
1968-07-01,12018.0
1968-06-01,11987.0
1968-05-01,11905.0
1968-04-01,11878.0
1968-03-01,11842.0
1968-02-01,11819.0
1968-01-01,11794.0
1967-12-01,11735.0
1967-11-01,11695.0
1967-10-01,11642.0
1967-09-01,11623.0
1967-08-01,11590.0
1967-07-01,11544.0
1967-06-01,11534.0
1967-05-01,11474.0
1967-04-01,11435.0
1967-03-01,11397.0
1967-02-01,11353.0
1967-01-01,11315.0
1966-12-01,11256.0
1966-11-01,11203.0
1966-10-01,11127.0
1966-09-01,11063.0
1966-08-01,11006.0
1966-07-01,10974.0
1966-06-01,10902.0
1966-05-01,10821.0
1966-04-01,10759.0
1966-03-01,10692.0
1966-02-01,10611.0
1966-01-01,10541.0
1965-12-01,10499.0
1965-11-01,10436.0
1965-10-01,10378.0
1965-09-01,10338.0
1965-08-01,10271.0
1965-07-01,10201.0
1965-06-01,10128.0
1965-05-01,10094.0
1965-04-01,10051.0
1965-03-01,10010.0
1965-02-01,9974.0
1965-01-01,9937.0
1964-12-01,9897.0
1964-11-01,9879.0
1964-10-01,9845.0
1964-09-01,9786.0
1964-08-01,9732.0
1964-07-01,9677.0
1964-06-01,9669.0
1964-05-01,9670.0
1964-04-01,9644.0
1964-03-01,9611.0
1964-02-01,9581.0
1964-01-01,9562.0
1963-12-01,9497.0
1963-11-01,9484.0
1963-10-01,9479.0
